-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------
                                          training_step         0.00%       0.000us         0.00%       0.000us       0.000us      25.774ms       107.48%      25.774ms      25.774ms           0 b           0 b           0 b           0 b             1                                                                                []            --
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       3.510ms        14.64%       3.510ms      85.610us           0 b           0 b           0 b           0 b            41                                                                                []            --
                                               aten::mm         0.46%     763.871us         0.58%     953.828us      39.743us       2.375ms         9.91%       2.375ms      98.969us           0 b           0 b     473.00 Mb     473.00 Mb            24                                                        [[4096, 768], [768, 2432]]  367219703808.000
                                               aten::mm         0.43%     706.887us         0.58%     956.640us      39.860us       2.182ms         9.10%       2.182ms      90.929us           0 b           0 b     144.00 Mb     144.00 Mb            24                                                       [[4096, 2432], [2432, 768]]  367219703808.000
                                               aten::mm         0.38%     632.119us         0.56%     915.583us      57.224us       1.744ms         7.27%       1.744ms     109.004us           0 b           0 b      57.00 Mb      57.00 Mb            16                                                       [[2432, 4096], [4096, 768]]  244813135872.000
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.707ms         7.12%       1.707ms      42.664us           0 b           0 b           0 b           0 b            40                                                                                []            --
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       1.547ms         6.45%       1.547ms      96.696us           0 b           0 b           0 b           0 b            16                                                                                []            --
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.454ms         6.07%       1.454ms      11.018us           0 b           0 b           0 b           0 b           132                                                                                []            --
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.442ms         6.01%       1.442ms      90.097us           0 b           0 b           0 b           0 b            16                                                                                []            --
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.430ms         5.96%       1.430ms       8.267us           0 b           0 b           0 b           0 b           173                                                                                []            --
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.278ms         5.33%       1.278ms      53.256us           0 b           0 b           0 b           0 b            24                                                                                []            --
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.255ms         5.23%       1.255ms       7.654us           0 b           0 b           0 b           0 b           164                                                                                []            --
                        aten::_flash_attention_backward         0.16%     266.568us         0.54%     890.186us     111.273us       1.096ms         4.57%       1.096ms     137.043us           0 b           0 b     144.88 Mb     -97.00 Mb             8  [[8, 512, 8, 96], [8, 512, 8, 96], [8, 512, 8, 96], [8, 512, 8, 96], [8, 512, 8,            --
                                               aten::mm         0.64%       1.047ms         0.81%       1.329ms      41.541us       1.088ms         4.54%       1.088ms      33.996us           0 b           0 b     192.00 Mb     192.00 Mb            32                                                         [[4096, 768], [768, 768]]  154618822656.000
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.034ms         4.31%       1.034ms       7.279us           0 b           0 b           0 b           0 b           142                                                                                []            --
                                              aten::mul         0.23%     380.965us         0.35%     579.900us      24.162us     925.145us         3.86%     925.145us      38.548us           0 b           0 b     471.00 Mb     471.00 Mb            24                                                  [[8, 512, 2432], [8, 512, 2432]]  239075328.000
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     925.145us         3.86%     925.145us      38.548us           0 b           0 b           0 b           0 b            24                                                                                []            --
                                               aten::mm         0.24%     397.072us         0.34%     562.209us      70.276us     879.581us         3.67%     879.581us     109.948us           0 b           0 b      28.50 Mb      28.50 Mb             8                                                       [[768, 4096], [4096, 2432]]  122406567936.000
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us     871.229us         3.63%     871.229us     108.904us           0 b           0 b           0 b           0 b             8                                                                                []            --
