-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls                                      Input Shapes   Total FLOPs  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
               decode_dynamic        40.49%       3.933ms       100.00%       9.716ms       9.716ms           0 B      -3.20 MB             1                                                []            --  
                     aten::mm         2.17%     211.140us         2.18%     211.890us      14.126us     375.00 KB     375.00 KB            15                             [[1, 64], [64, 6400]]  12288000.000  
               aten::_to_copy         1.82%     176.378us         3.52%     342.315us       1.019us       1.31 KB           0 B           336                      [[], [], [], [], [], [], []]            --  
                    aten::cat         1.69%     163.808us         3.00%     291.035us       2.079us     340.31 KB     340.31 KB           140                                          [[], []]            --  
                  aten::copy_         0.99%      96.606us         0.99%      96.606us       0.288us           0 B           0 B           336                                      [[], [], []]            --  
                   aten::div_         0.94%      91.698us         1.95%     189.775us       2.530us           0 B        -300 B            75                                   [[1, 1, 1], []]            --  
                     aten::to         0.93%      90.675us         4.46%     432.990us       1.289us       1.31 KB           0 B           336                              [[], [], [], [], []]            --  
                    aten::pow         0.89%      86.026us         1.01%      97.979us       1.306us      18.75 KB      18.75 KB            75                                  [[1, 1, 64], []]            --  
                     aten::mm         0.87%      84.584us         0.90%      87.583us       1.460us      60.00 KB      60.00 KB            60                              [[1, 64], [64, 256]]   1966080.000  
                 aten::matmul         0.83%      80.739us         2.03%     197.467us       3.291us      60.00 KB           0 B            60                           [[1, 1, 64], [64, 256]]            --  
                 aten::argmax         0.83%      80.212us         0.83%      80.212us       5.013us         128 B         128 B            16                               [[1, 6400], [], []]            --  
                     aten::mm         0.77%      75.039us         0.77%      75.039us      75.039us     800.00 KB     800.00 KB             1                            [[32, 64], [64, 6400]]  26214400.000  
                 aten::select         0.76%      74.197us         0.93%      90.248us       0.376us           0 B           0 B           240                              [[4, 1, 16], [], []]            --  
                 aten::matmul         0.73%      70.507us         1.50%     145.726us       2.429us      15.00 KB           0 B            60                            [[1, 1, 64], [64, 64]]            --  
              aten::unsqueeze         0.73%      70.488us         0.91%      88.713us       0.739us           0 B           0 B           120                                     [[1, 16], []]            --  
          aten::empty_strided         0.71%      69.331us         0.71%      69.331us       0.206us       1.31 KB       1.31 KB           336                          [[], [], [], [], [], []]            --  
                    aten::add         0.67%      65.437us         1.48%     143.585us       1.914us         300 B           0 B            75                               [[1, 1, 1], [], []]        75.000  
                   aten::mean         0.64%      62.028us         3.27%     317.240us       4.230us         300 B         300 B            75                          [[1, 1, 64], [], [], []]            --  
                    aten::sum         0.63%      61.098us         0.67%      65.437us       0.872us           0 B           0 B            75               [[1, 1, 64], [], [], [], [1, 1, 1]]            --  
                 aten::matmul         0.61%      59.326us         1.60%     155.099us       2.585us       7.50 KB           0 B            60                            [[1, 1, 64], [64, 32]]            --  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
Self CPU time total: 9.716ms

