-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls                                      Input Shapes   Total FLOPs  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
                  decode_none        36.09%       5.554ms       100.00%      15.388ms      15.388ms           0 B     -31.92 MB             1                                                []            --  
               aten::_to_copy         2.50%     384.310us         3.64%     560.145us       1.667us       1.31 KB           0 B           336                      [[], [], [], [], [], [], []]            --  
                     aten::mm         1.39%     214.132us         1.39%     214.174us     214.174us     800.00 KB     800.00 KB             1                            [[32, 64], [64, 6400]]  26214400.000  
                      aten::t         1.28%     196.213us         1.50%     230.900us       3.608us           0 B           0 B            64                                        [[64, 64]]            --  
              aten::embedding         1.18%     181.403us         1.61%     247.358us     247.358us       8.00 KB           0 B             1                 [[6400, 64], [1, 32], [], [], []]            --  
                    aten::cat         1.09%     168.344us         1.98%     305.027us       3.813us     479.06 KB     479.06 KB            80                                          [[], []]            --  
                aten::reshape         0.98%     150.160us         1.13%     174.179us      43.545us      32.00 KB           0 B             4                           [[1, 32, 2, 2, 16], []]            --  
                     aten::mm         0.90%     138.951us         0.90%     138.993us     138.993us     850.00 KB     850.00 KB             1                            [[34, 64], [64, 6400]]  27852800.000  
                     aten::mm         0.85%     131.326us         0.85%     131.368us     131.368us     875.00 KB     875.00 KB             1                            [[35, 64], [64, 6400]]  28672000.000  
                     aten::mm         0.84%     129.551us         0.84%     129.593us     129.593us     825.00 KB     825.00 KB             1                            [[33, 64], [64, 6400]]  27033600.000  
                     aten::mm         0.76%     117.600us         0.76%     117.600us     117.600us       1.12 MB       1.12 MB             1                            [[46, 64], [64, 6400]]  37683200.000  
                     aten::mm         0.71%     109.682us         0.71%     109.765us     109.765us       1.03 MB       1.03 MB             1                            [[42, 64], [64, 6400]]  34406400.000  
                     aten::mm         0.71%     109.493us         0.71%     109.535us     109.535us     900.00 KB     900.00 KB             1                            [[36, 64], [64, 6400]]  29491200.000  
                  aten::copy_         0.66%     101.454us         0.66%     101.454us       0.302us           0 B           0 B           336                                      [[], [], []]            --  
                     aten::to         0.57%      87.227us         4.21%     647.372us       1.927us       1.31 KB           0 B           336                              [[], [], [], [], []]            --  
          aten::empty_strided         0.48%      74.381us         0.48%      74.381us       0.221us       1.31 KB       1.31 KB           336                          [[], [], [], [], [], []]            --  
                 aten::argmax         0.46%      70.869us         0.46%      70.869us       4.429us         128 B         128 B            16                               [[1, 6400], [], []]            --  
                     aten::mm         0.45%      69.581us         0.45%      69.622us      69.622us    1000.00 KB    1000.00 KB             1                            [[40, 64], [64, 6400]]  32768000.000  
                     aten::mm         0.43%      66.370us         0.43%      66.370us      66.370us     925.00 KB     925.00 KB             1                            [[37, 64], [64, 6400]]  30310400.000  
                  aten::empty         0.41%      62.763us         0.41%      62.763us       0.392us       1.12 MB       1.12 MB           160                          [[], [], [], [], [], []]            --  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
Self CPU time total: 15.388ms

