-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls                                      Input Shapes   Total FLOPs  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
                decode_static        40.59%       3.940ms       100.00%       9.707ms       9.707ms           0 B      -2.93 MB             1                                                []            --  
                     aten::mm         2.11%     204.405us         2.11%     205.071us      13.671us     375.00 KB     375.00 KB            15                             [[1, 64], [64, 6400]]  12288000.000  
               aten::_to_copy         1.98%     191.965us         3.71%     360.047us       1.072us       1.31 KB           0 B           336                      [[], [], [], [], [], [], []]            --  
                     aten::mm         1.59%     154.515us         1.59%     154.556us     154.556us     800.00 KB     800.00 KB             1                            [[32, 64], [64, 6400]]  26214400.000  
                    aten::cat         1.11%     107.668us         2.21%     214.866us       2.686us      40.31 KB      40.31 KB            80                                          [[], []]            --  
                     aten::mm         1.00%      96.778us         1.03%      99.900us       1.665us      60.00 KB      60.00 KB            60                              [[1, 64], [64, 256]]   1966080.000  
                  aten::copy_         0.98%      95.029us         0.98%      95.029us       0.283us           0 B           0 B           336                                      [[], [], []]            --  
                   aten::div_         0.90%      87.183us         2.04%     197.668us       2.636us           0 B        -300 B            75                                   [[1, 1, 1], []]            --  
                     aten::to         0.84%      81.332us         4.55%     441.379us       1.314us       1.31 KB           0 B           336                              [[], [], [], [], []]            --  
                 aten::argmax         0.83%      81.023us         0.83%      81.023us       5.064us         128 B         128 B            16                               [[1, 6400], [], []]            --  
                 aten::matmul         0.82%      79.357us         2.18%     211.618us       3.527us      60.00 KB           0 B            60                           [[1, 1, 64], [64, 256]]            --  
                 aten::select         0.81%      78.330us         0.99%      95.677us       0.399us           0 B           0 B           240                              [[4, 1, 16], [], []]            --  
          aten::empty_strided         0.75%      73.053us         0.75%      73.053us       0.217us       1.31 KB       1.31 KB           336                          [[], [], [], [], [], []]            --  
                    aten::pow         0.73%      70.880us         0.85%      82.920us       1.106us      18.75 KB      18.75 KB            75                                  [[1, 1, 64], []]            --  
                 aten::matmul         0.67%      65.516us         1.64%     158.943us       2.649us       7.50 KB           0 B            60                            [[1, 1, 64], [64, 32]]            --  
                    aten::add         0.66%      64.434us         1.48%     144.022us       1.920us         300 B           0 B            75                               [[1, 1, 1], [], []]        75.000  
                 aten::matmul         0.64%      62.395us         1.50%     145.928us       2.432us      15.00 KB           0 B            60                            [[1, 1, 64], [64, 64]]            --  
                   aten::mean         0.62%      60.021us         3.31%     320.939us       4.279us         300 B         300 B            75                          [[1, 1, 64], [], [], []]            --  
                    aten::sum         0.61%      59.079us         0.65%      63.250us       0.843us           0 B           0 B            75               [[1, 1, 64], [], [], [], [1, 1, 1]]            --  
                aten::reshape         0.60%      58.656us         0.83%      80.866us       0.415us           0 B           0 B           195                                  [[1, 1, 64], []]            --  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
Self CPU time total: 9.707ms

