-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
                                          training_step        13.53%       2.772ms       100.00%      20.490ms      20.490ms       2.03 MB     -31.12 MB             1                                                []            --  
                                               aten::mm        11.11%       2.276ms        11.11%       2.276ms       2.276ms      12.50 MB      12.50 MB             1                           [[512, 64], [64, 6400]]  419430400.000  
                                            aten::copy_         7.55%       1.547ms         7.55%       1.547ms     773.606us           0 B           0 B             2                [[8, 63, 6400], [8, 63, 6400], []]            --  
                                     aten::_log_softmax         7.26%       1.487ms         7.26%       1.487ms       1.487ms      12.30 MB      12.30 MB             1                             [[504, 6400], [], []]            --  
                       aten::_log_softmax_backward_data         6.67%       1.367ms         6.67%       1.367ms       1.367ms      12.30 MB      12.30 MB             1                [[504, 6400], [504, 6400], [], []]            --  
                                            aten::fill_         4.72%     966.446us         4.72%     966.446us     966.446us           0 B           0 B             1                               [[8, 64, 6400], []]            --  
                                               aten::mm         3.99%     817.204us         3.99%     817.330us     817.330us       1.56 MB       1.56 MB             1                          [[6400, 512], [512, 64]]  419430400.000  
                                               aten::mm         2.78%     570.166us         2.78%     570.290us     570.290us     128.00 KB     128.00 KB             1                         [[512, 6400], [6400, 64]]  419430400.000  
                                              aten::bmm         2.41%     494.826us         3.73%     764.293us     191.073us       2.00 MB       2.00 MB             4                      [[32, 64, 16], [32, 16, 64]]  16777216.000  
                                              aten::mul         2.24%     458.987us         2.24%     458.987us      76.498us       3.00 MB       3.00 MB             6                      [[8, 64, 256], [8, 64, 256]]    786432.000  
                                              aten::bmm         2.09%     428.970us         3.69%     755.569us     125.928us     768.00 KB     768.00 KB             6                      [[32, 64, 64], [32, 64, 16]]  25165824.000  
                                               aten::mm         1.27%     260.994us         1.28%     261.455us      43.576us       3.00 MB       3.00 MB             6                            [[512, 64], [64, 256]]  100663296.000  
                                               aten::mm         1.24%     253.604us         1.24%     253.897us      42.316us     768.00 KB     768.00 KB             6                           [[512, 256], [256, 64]]  100663296.000  
                                           aten::select         1.20%     246.345us         1.52%     310.440us       0.606us           0 B           0 B           512                            [[32, 64, 16], [], []]            --  
                                            aten::copy_         1.15%     235.811us         1.15%     235.811us      14.738us           0 B           0 B            16              [[8, 4, 64, 64], [8, 4, 64, 64], []]            --  
                                         aten::_softmax         1.03%     210.730us         1.03%     210.730us     105.365us       1.00 MB       1.00 MB             2                          [[8, 4, 64, 64], [], []]            --  
                                    aten::silu_backward         0.94%     192.028us         0.94%     192.028us      96.014us       1.00 MB       1.00 MB             2                      [[8, 64, 256], [8, 64, 256]]            --  
                                              aten::sum         0.93%     190.990us         0.95%     194.196us      19.420us      11.25 KB      11.25 KB            10                         [[8, 64, 64], [], [], []]            --  
                                              aten::div         0.93%     189.761us         1.17%     239.630us      59.907us       2.00 MB       2.00 MB             4                              [[8, 4, 64, 64], []]            --  
                                         aten::_to_copy         0.88%     179.410us         1.11%     227.776us       4.556us         200 B           0 B            50                      [[], [], [], [], [], [], []]            --  
                                           aten::select         0.84%     172.219us         1.07%     219.570us       0.572us           0 B           0 B           384                            [[32, 64, 64], [], []]            --  
                                            aten::fill_         0.80%     164.010us         0.80%     164.010us     164.010us           0 B           0 B             1                                 [[504, 6400], []]            --  
                                               aten::mm         0.78%     159.694us         0.78%     160.152us      40.038us     256.00 KB     256.00 KB             4                           [[256, 512], [512, 64]]  67108864.000  
                                             aten::silu         0.74%     151.199us         0.74%     151.199us      75.600us       1.00 MB       1.00 MB             2                                    [[8, 64, 256]]            --  
                                        aten::new_zeros         0.65%     133.008us         0.66%     134.341us     134.341us           4 B           0 B             1                 [[8, 64, 64], [], [], [], [], []]            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------------  ------------  
Self CPU time total: 20.490ms

